Herb name in Pinyin,Herb Property,Herb Meridian Tropism,Herb Flavor
SAN KE ZHEN,Cold,"Large intestine meridian,Liver meridian,Stomach meridian",Bitter
SAN LENG,Even,"Liver meridian,Spleen meridian","Bitter,Pungent"
SAN QI,Warm,"Liver meridian,Stomach meridian","Sweet,Mildly bitter"
SANG BAI PI,Cold,Lung meridian,Sweet
SANG JI SHENG,Even,"Liver meridian,Kidney meridian","Sweet,Bitter"
SANG YE,Cold,"Lung meridian,Liver meridian","Sweet,Bitter"
SANG ZHI,Even,Liver meridian,Mildly bitter
SHA REN,Warm,"Spleen meridian,Kidney meridian,Stomach meridian",Pungent
SHAN CI GU,Cool,"Liver meridian,Spleen meridian","Sweet,Mildly pungent"
SHAN DOU GEN,Cold,"Lung meridian,Stomach meridian",Bitter
SHAN NAI,Cold,"Lung meridian,Liver meridian",Bitter
SHAN YAO,Even,"Lung meridian,Spleen meridian,Kidney meridian",Sweet
SHAN ZHA,Mildly warm,"Liver meridian,Spleen meridian,Stomach meridian","Sweet,Sour"
SHAN ZHU YU,Mildly warm,"Liver meridian,Kidney meridian","Astringent,Sour"
SHANG LU,Cold,"Large intestine meridian,Lung meridian,Spleen meridian,Kidney meridian",Bitter
SHE CHUANG ZI,Warm,Kidney meridian,"Bitter,Pungent"
SHE GAN,Cold,Lung meridian,Bitter
SHENG MA,Mildly cold,"Large intestine meridian,Lung meridian,Spleen meridian,Stomach meridian","Mildly sweet,Pungent"
SHENG JIANG,Mildly warm,"Lung meridian,Spleen meridian,Stomach meridian",Pungent
SHI CAO,Even,"Bladder meridian,Lung meridian,Spleen meridian","Bitter,Sour"
SHI CHANG PU,Warm,"Stomach meridian,Heart meridian","Bitter,Pungent"
SHI DIAO LAN,Warm,Lung meridian,Bitter
SHI HU,Mildly cold,"Stomach meridian,Triple burner meridian,Kidney meridianOthers meridian",Sweet
SHI LIU PI,Warm,Large intestine meridian,"Astringent,Sour"
SHI WEI,Mildly cold,"Bladder meridian,Lung meridian","Sweet,Bitter"
SHI JUN ZI,Warm,"Spleen meridian,Stomach meridian",Sweet
SHI DI,Even,Stomach meridian,"Bitter,Astringent"
SHUI FEI JI,Cool,"Gallbladder meridian,Liver meridian",Bitter
SI GUA LUO,Even,"Lung meridian,Liver meridian,Stomach meridian",Sweet
SI JI QING,Cool,"Bladder meridian,Large intestine meridian,Lung meridian","Bitter,Astringent"
SU HE XIANG,Warm,"Spleen meridian,Heart meridian",Pungent
SU MU,Even,"Liver meridian,Spleen meridian,Heart meridian","Sweet,Salty"
SUAN ZAO REN,Even,"Gallbladder meridian,Liver meridian,Heart meridian","Sweet,Sour"
SUO LUO ZI,Warm,"Liver meridian,Stomach meridian",Sweet
SUO YANG,Warm,"Large intestine meridian,Liver meridian,Kidney meridian",Sweet
TAI ZI SHEN,Even,"Lung meridian,Spleen meridian","Sweet,Mildly bitter"
