Unnamed_0,molecular_weight, alogp, logd, molecular_solubility, molecular_volume, molecular_surface_area, molecular_polar_surface_area, num_rotatable_bonds, num_h_acceptors, num_h_donors, adm_absorption_level, adm_bbb_level, adm_bbb, adm_solubility, adm_solubility_level, adm_hepatotoxicity, adm_hepatotoxicity_probability, adm_cyp2d6, adm_cyp2d6_probability, adm_ppb_level, druglikeness_weight,isGreatCold,isCold,isMildlyCold,isCool,isEven,isWarm,isMildlyWarm,isHot,isGreatHot,isLiverMeridian,isSpleenMeridian,isKidneyMeridian,isHeartMeridian,isLargeIntestineMeridian,isStomachMeridian,isLungMeridian,isGallbladderMeridian,isTripleBurnerMeridian,isBladderMeridian,isOthersMeridian,isSmallIntestineMeridian,isPericardiumMeridian,isBitter,isPungent,isSweet,isAstringent,isMildlyBitter,isSalty,isMildlySweet,isSour
730,236.26219,-0.8270000000000001,-0.8270000000000001,-0.156,158.8,242.04,99.38,5.0,6.0,4.0,0.0,4.0,0.0034031952342269208,0.757,5.0,0.0,0.132,0.0,0.069,0.0,0.4970000000000001,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0
731,188.18271,0.467,0.467,-1.6669999999999998,118.67,181.37,73.12,1.0,3.0,2.0,0.0,3.0,-1.178,-1.138,4.0,1.0,0.754,0.0,0.029,1.0,0.672,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
732,297.3053,2.456,2.456,-3.657,195.5,283.32,67.79,3.0,4.0,2.0,0.0,2.0,-0.483,-3.5460000000000003,3.0,1.0,0.913,1.0,0.524,2.0,0.8540000000000001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
733,238.24139,2.291,2.29,-2.98,147.14,220.15,52.9,1.0,3.0,1.0,0.0,2.0,-0.281,-3.179,3.0,1.0,0.86,0.0,0.316,2.0,0.8290000000000001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
734,257.24143,1.369,1.369,-2.147,157.43,237.24,82.55,2.0,4.0,3.0,0.0,3.0,-1.043,-2.17,3.0,1.0,0.986,0.0,0.297,1.0,0.7090000000000001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
735,262.2628,2.106,2.106,-3.272,160.86,226.53,58.2,0.0,4.0,2.0,0.0,2.0,-0.456,-3.831,3.0,1.0,0.907,1.0,0.544,2.0,0.7140000000000001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
736,262.26279,1.876,1.632,-3.353,155.03,227.53,58.2,0.0,3.0,2.0,0.0,3.0,-0.527,-3.639,3.0,1.0,0.98,1.0,0.782,2.0,0.713,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
737,334.3239200000001,-0.135,-0.135,-2.316,205.45,318.44,138.96,4.0,7.0,5.0,1.0,4.0,0.0034031952342269208,-1.361,4.0,1.0,0.622,0.0,0.237,0.0,0.524,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
738,285.29944,3.094,2.641,-4.665,171.15,264.34,68.68,1.0,3.0,2.0,0.0,2.0,-0.275,-4.803,2.0,1.0,0.98,1.0,0.504,2.0,0.5329999999999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
739,326.34652,1.5219999999999998,0.737,-2.797,208.54,296.07,86.71,1.0,5.0,2.0,0.0,3.0,-1.09,-3.403,3.0,0.0,0.258,0.0,0.465,1.0,0.764,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
740,406.43118,2.227,2.228,-3.572,255.19,372.78,88.1,3.0,5.0,2.0,0.0,3.0,-0.8809999999999999,-4.1930000000000005,2.0,1.0,0.695,1.0,0.534,2.0,0.816,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
741,147.13079,0.67,0.67,-1.499,84.37,132.63,46.17,0.0,2.0,1.0,0.0,3.0,-0.6970000000000001,-1.675,4.0,1.0,0.596,0.0,0.039,2.0,0.5479999999999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
742,215.21135,0.878,0.8759999999999999,-2.095,130.33,206.95,79.63,3.0,4.0,2.0,0.0,3.0,-1.1,-2.342,3.0,1.0,0.867,0.0,0.08900000000000001,0.0,0.679,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
743,425.43136,-0.477,-2.725,-2.215,256.22,374.33,220.02,7.0,12.0,6.0,3.0,4.0,0.0034031952342269208,-2.562,3.0,1.0,0.629,0.0,0.188,0.0,0.141,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
744,359.37328,-1.202,-3.684,-1.5419999999999998,213.68,321.01,199.79,7.0,11.0,5.0,3.0,4.0,0.0034031952342269208,-0.999,4.0,0.0,0.059,0.0,0.247,0.0,0.12,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0
745,414.7067,8.084,8.084,-9.566,337.85,440.67,20.23,6.0,1.0,1.0,3.0,4.0,0.0034031952342269208,-8.256,0.0,1.0,0.5489999999999999,0.0,0.35600000000000004,2.0,0.435,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
746,406.38174,-2.001,-2.001,-0.722,254.16,395.62,178.53,8.0,11.0,7.0,3.0,4.0,0.0034031952342269208,-0.747,4.0,1.0,0.523,0.0,0.158,0.0,0.254,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
747,248.23621,2.331,2.331,-3.147,142.34,216.2,49.74,0.0,3.0,0.0,0.0,2.0,-0.213,-4.1160000000000005,2.0,1.0,0.98,0.0,0.287,2.0,0.7190000000000001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
